
India,Uttar Pradesh
Indonesia,West Java
Iran,Yazd Province
Iran,Yazd Province
Japan,
Nigeria,Edo State
Pakistan,Sindh
Pakistan,Punjab
United States,South Carolina
None,None
United States,Georgia
United States,Tennessee
Israel,South District
Israel,South District
Israel,Tel Aviv District
Brazil,Rio de Janeiro
Germany,Brandenburg
India,Rajasthan
Iran,Yazd Province
Iran,Yazd Province
Kuwait,Ahmadi
Pakistan,Khyber Pakhtunkhwa
Pakistan,Punjab
Panama,Coclé
Philippines,Nueva Ecija
Philippines,
Philippines,
United States,Alabama
United States,South Dakota
None,None
United States,Georgia
United States,Georgia
Iran,Yazd Province
Jordan,Amman
India,Jharkhand
India,Maharashtra
India,Karnataka
Iraq,Al-Anbar Governorate
Iran,Yazd Province
Iran,Yazd Province
Israel,South District
Kuwait,Jahra
Kuwait,Ahmadi
Malaysia,Selangor
United States,Georgia
United States,Georgia
United States,South Carolina
United States,South Carolina
United States,Kansas
United States,South Carolina
Jordan,Zarqa
Iran,Yazd Province
Iran,Yazd Province
Japan,
Jordan,Amman
Indonesia,West Java
Indonesia,East Java
Iran,Yazd Province
Iran,Yazd Province
Kuwait,Hawalli
Lebanon,Beqaa Governorate
Nepal,
Philippines,Camarines Sur
Sweden,
United States,Alabama
United States,Florida
United States,Puerto Rico
None,None
United States,Georgia
United States,Georgia
United States,North Carolina
United States,North Carolina
United States,Pennsylvania
Israel,South District
Iran,Yazd Province
Thailand,Songkhla Province
Brazil,Amazonas
Spain,Community of Madrid
France,Occitania
India,Jharkhand
Iran,Yazd Province
Pakistan,Islamabad Capital Territory
Pakistan,Sindh
Pakistan,Khyber Pakhtunkhwa
Singapore,
United States,California
United States,Georgia
United States,Georgia
None,None
United States,Georgia
United States,Indiana
United States,North Carolina
Iran,Yazd Province
Pakistan,Sindh
India,Jammu and Kashmir
Indonesia,Central Java
Iran,Yazd Province
Pakistan,Sindh
Pakistan,Punjab
Pakistan,Punjab
United States,Georgia
United States,Georgia
United States,Georgia
United States,Illinois
United States,Georgia
None,None
None,None
Israel,South District
Thailand,Songkhla Province
Jordan,Amman
India,Tamil Nadu
Indonesia,Bali
Iraq,Al-Anbar Governorate
Iraq,Al-Anbar Governorate
Iran,Yazd Province
Iran,Yazd Province
Israel,South District
Kuwait,Farwaniya
Kuwait,Al Asimah
Kuwait,Al Asimah
Pakistan,Punjab
Philippines,
United States,Alabama
United States,Georgia
United States,South Carolina
United States,Minnesota
United States,Georgia
None,None
United States,North Carolina
Israel,South District
Iran,Yazd Province
Kuwait,Hawalli
India,Arunachal Pradesh
India,Assam
India,
Indonesia,East Java
Iraq,Al-Anbar Governorate
Lebanon,Beqaa Governorate
Pakistan,Punjab
Pakistan,Punjab
China,Sichuan
Philippines,Laguna
Singapore,
United States,Texas
United States,Alabama
United States,South Carolina
None,None
None,None
United States,Michigan
Iran,Yazd Province
Jordan,Amman
India,Delhi
India,Telangana
Indonesia,West Java
Kuwait,Al Asimah
Kuwait,Al Asimah
Pakistan,Punjab
Philippines,Rizal
United Kingdom,England
United States,Georgia
United States,Georgia
United States,Georgia
None,None
United States,Georgia
United States,South Carolina
United States,Tennessee
Iran,Yazd Province
Kuwait,Hawalli
Brazil,Minas Gerais
India,Telangana
Indonesia,East Java
Indonesia,Special Region of Yogyakarta
Indonesia,Special Region of Yogyakarta
Indonesia,East Java
Kuwait,Ahmadi
Pakistan,Punjab
Pakistan,Punjab
Pakistan,Punjab
Mozambique,Sofala Province
Singapore,
United States,Georgia
United States,Georgia
United States,Georgia
United States,Georgia
United States,Georgia
United States,Georgia
United States,Georgia
Iran,Yazd Province
Kuwait,Jahra
Lebanon,Beqaa Governorate
India,Maharashtra
India,Uttar Pradesh
Iraq,Al-Anbar Governorate
Iran,Yazd Province
Lebanon,Beqaa Governorate
Lebanon,Beqaa Governorate
Pakistan,Sindh
Pakistan,Punjab
Philippines,
United States,Georgia
United States,Georgia
United States,South Carolina
Japan,
India,Uttar Pradesh
India,Uttar Pradesh
Iraq,Al-Anbar Governorate
Israel,South District
Kuwait,Ahmadi
Kuwait,Al Asimah
United Kingdom,Northern Ireland
United States,Georgia
United States,Georgia
None,None
None,None
None,None
None,None
None,None
Jordan,Irbid
Iran,Yazd Province
Iran,Yazd Province
India,Maharashtra
Indonesia,Banten
Iran,Yazd Province
Kuwait,Hawalli
Lebanon,Beqaa Governorate
Lebanon,Beqaa Governorate
United States,Michigan
United States,Georgia
United States,North Carolina
None,None
United States,Georgia
United States,Georgia
United States,North Carolina
Israel,South District
Iran,Yazd Province
India,Jharkhand
India,Uttar Pradesh
India,Uttar Pradesh
Indonesia,West Java
Indonesia,
Iraq,Al-Anbar Governorate
Israel,South District
Kuwait,Al Asimah
Kuwait,Mubarak Al-Kabeer
Philippines,Laguna
United States,Georgia
United States,Georgia
United States,Florida
United States,Georgia
United States,Georgia
United States,South Carolina
None,None
None,None
United States,Georgia
United States,South Carolina
Israel,South District
Iran,Yazd Province
